t_ms,frame_idx,relative_path
8038.111,160,frames/frame_000160.jpg
8084.642,161,frames/frame_000161.jpg
8131.672,162,frames/frame_000162.jpg
8193.838,163,frames/frame_000163.jpg
8240.488,164,frames/frame_000164.jpg
8287.052,165,frames/frame_000165.jpg
8333.624,166,frames/frame_000166.jpg
8380.329,167,frames/frame_000167.jpg
8443.023,168,frames/frame_000168.jpg
8489.612,169,frames/frame_000169.jpg
8536.136,170,frames/frame_000170.jpg
8582.804,171,frames/frame_000171.jpg
8644.444,172,frames/frame_000172.jpg
8691.645,173,frames/frame_000173.jpg
8738.157,174,frames/frame_000174.jpg
8784.745,175,frames/frame_000175.jpg
8831.299,176,frames/frame_000176.jpg
8893.898,177,frames/frame_000177.jpg
8940.521,178,frames/frame_000178.jpg
8987.033,179,frames/frame_000179.jpg
9033.598,180,frames/frame_000180.jpg
9080.693,181,frames/frame_000181.jpg
9143.007,182,frames/frame_000182.jpg
9190.034,183,frames/frame_000183.jpg
9236.613,184,frames/frame_000184.jpg
9283.210,185,frames/frame_000185.jpg
9329.855,186,frames/frame_000186.jpg
9391.911,187,frames/frame_000187.jpg
9438.958,188,frames/frame_000188.jpg
9485.515,189,frames/frame_000189.jpg
9532.096,190,frames/frame_000190.jpg
9594.192,191,frames/frame_000191.jpg
9640.341,192,frames/frame_000192.jpg
9686.886,193,frames/frame_000193.jpg
9733.931,194,frames/frame_000194.jpg
9780.565,195,frames/frame_000195.jpg
9842.684,196,frames/frame_000196.jpg
9889.232,197,frames/frame_000197.jpg
9935.822,198,frames/frame_000198.jpg
9982.429,199,frames/frame_000199.jpg
10045.024,200,frames/frame_000200.jpg
10091.585,201,frames/frame_000201.jpg
10138.176,202,frames/frame_000202.jpg
10184.344,203,frames/frame_000203.jpg
10230.934,204,frames/frame_000204.jpg
10293.010,205,frames/frame_000205.jpg
10339.613,206,frames/frame_000206.jpg
10386.241,207,frames/frame_000207.jpg
10432.680,208,frames/frame_000208.jpg
10494.841,209,frames/frame_000209.jpg
10541.471,210,frames/frame_000210.jpg
10588.023,211,frames/frame_000211.jpg
10634.512,212,frames/frame_000212.jpg
10681.148,213,frames/frame_000213.jpg
10730.375,214,frames/frame_000214.jpg
10925.718,215,frames/frame_000215.jpg
10939.575,216,frames/frame_000216.jpg
10953.114,217,frames/frame_000217.jpg
10968.610,218,frames/frame_000218.jpg
10981.486,219,frames/frame_000219.jpg
11038.059,220,frames/frame_000220.jpg
11084.574,221,frames/frame_000221.jpg
11131.161,222,frames/frame_000222.jpg
11193.292,223,frames/frame_000223.jpg
11239.825,224,frames/frame_000224.jpg
11286.504,225,frames/frame_000225.jpg
11333.020,226,frames/frame_000226.jpg
11379.624,227,frames/frame_000227.jpg
11441.677,228,frames/frame_000228.jpg
11488.282,229,frames/frame_000229.jpg
11534.860,230,frames/frame_000230.jpg
11581.483,231,frames/frame_000231.jpg
11643.748,232,frames/frame_000232.jpg
11690.372,233,frames/frame_000233.jpg
11737.608,234,frames/frame_000234.jpg
11784.229,235,frames/frame_000235.jpg
11830.471,236,frames/frame_000236.jpg
11892.920,237,frames/frame_000237.jpg
11939.466,238,frames/frame_000238.jpg
11986.198,239,frames/frame_000239.jpg
12032.799,240,frames/frame_000240.jpg
12094.911,241,frames/frame_000241.jpg
12141.557,242,frames/frame_000242.jpg
12208.479,243,frames/frame_000243.jpg
12234.824,244,frames/frame_000244.jpg
12281.464,245,frames/frame_000245.jpg
12343.881,246,frames/frame_000246.jpg
12387.054,247,frames/frame_000247.jpg
12438.209,248,frames/frame_000248.jpg
12485.407,249,frames/frame_000249.jpg
12531.899,250,frames/frame_000250.jpg
12594.119,251,frames/frame_000251.jpg
12640.781,252,frames/frame_000252.jpg
12687.494,253,frames/frame_000253.jpg
12734.184,254,frames/frame_000254.jpg
12780.926,255,frames/frame_000255.jpg
12843.782,256,frames/frame_000256.jpg
12889.836,257,frames/frame_000257.jpg
12936.562,258,frames/frame_000258.jpg
12982.679,259,frames/frame_000259.jpg
13045.011,260,frames/frame_000260.jpg
13091.641,261,frames/frame_000261.jpg
13138.837,262,frames/frame_000262.jpg
13185.417,263,frames/frame_000263.jpg
13232.541,264,frames/frame_000264.jpg
13294.639,265,frames/frame_000265.jpg
13341.266,266,frames/frame_000266.jpg
13387.970,267,frames/frame_000267.jpg
13434.287,268,frames/frame_000268.jpg
13480.429,269,frames/frame_000269.jpg
13542.794,270,frames/frame_000270.jpg
13589.395,271,frames/frame_000271.jpg
13635.748,272,frames/frame_000272.jpg
13682.874,273,frames/frame_000273.jpg
13744.662,274,frames/frame_000274.jpg
13791.219,275,frames/frame_000275.jpg
13838.501,276,frames/frame_000276.jpg
13885.065,277,frames/frame_000277.jpg
13931.598,278,frames/frame_000278.jpg
13993.842,279,frames/frame_000279.jpg
14040.621,280,frames/frame_000280.jpg
14087.215,281,frames/frame_000281.jpg
14133.875,282,frames/frame_000282.jpg
14180.466,283,frames/frame_000283.jpg
14243.170,284,frames/frame_000284.jpg
14289.853,285,frames/frame_000285.jpg
14336.668,286,frames/frame_000286.jpg
14382.846,287,frames/frame_000287.jpg
14445.090,288,frames/frame_000288.jpg
14491.587,289,frames/frame_000289.jpg
14538.801,290,frames/frame_000290.jpg
14585.392,291,frames/frame_000291.jpg
14631.996,292,frames/frame_000292.jpg
14695.017,293,frames/frame_000293.jpg
14742.200,294,frames/frame_000294.jpg
14788.727,295,frames/frame_000295.jpg
14835.435,296,frames/frame_000296.jpg
14881.975,297,frames/frame_000297.jpg
14944.377,298,frames/frame_000298.jpg
14990.867,299,frames/frame_000299.jpg
15037.683,300,frames/frame_000300.jpg
15084.305,301,frames/frame_000301.jpg
15130.488,302,frames/frame_000302.jpg
15193.284,303,frames/frame_000303.jpg
15239.883,304,frames/frame_000304.jpg
15286.357,305,frames/frame_000305.jpg
15333.064,306,frames/frame_000306.jpg
15379.747,307,frames/frame_000307.jpg
15442.149,308,frames/frame_000308.jpg
15488.372,309,frames/frame_000309.jpg
15534.905,310,frames/frame_000310.jpg
15581.532,311,frames/frame_000311.jpg
15644.224,312,frames/frame_000312.jpg
15690.926,313,frames/frame_000313.jpg
15737.192,314,frames/frame_000314.jpg
15783.340,315,frames/frame_000315.jpg
15829.989,316,frames/frame_000316.jpg
15892.063,317,frames/frame_000317.jpg
15939.287,318,frames/frame_000318.jpg
15985.862,319,frames/frame_000319.jpg
16032.090,320,frames/frame_000320.jpg
16094.871,321,frames/frame_000321.jpg
16141.168,322,frames/frame_000322.jpg
16187.776,323,frames/frame_000323.jpg
16234.391,324,frames/frame_000324.jpg
16281.474,325,frames/frame_000325.jpg
16343.679,326,frames/frame_000326.jpg
16390.310,327,frames/frame_000327.jpg
16437.398,328,frames/frame_000328.jpg
16483.539,329,frames/frame_000329.jpg
16530.285,330,frames/frame_000330.jpg
16593.091,331,frames/frame_000331.jpg
16639.798,332,frames/frame_000332.jpg
