t_ms,PacketId,SpeedKmh,SteerAngle,Gas,Brake,Gear,Rpms,Heading,Pitch,Roll,AccG_x,AccG_y,AccG_z,Velocity_x,Velocity_y,Velocity_z,WheelSlip_0,WheelSlip_1,WheelSlip_2,WheelSlip_3
113534.440,11,0.018474603071808815,0.0,0.0,1.0,1,7,-0.23861180245876312,0.07500079274177551,-0.054041627794504166,0.0010906896786764264,-9.516530553810298e-05,8.908491145120934e-05,-0.001563374069519341,-0.0015638842014595866,-0.004625862929970026,0.040528371930122375,0.04552268236875534,0.03963712230324745,0.04553350806236267
113549.858,16,0.018393002450466156,0.0,0.0,1.0,1,7,-0.23861193656921387,0.07500439137220383,-0.05404316633939743,-0.00011404351243982092,-0.00014124144217930734,0.00021758867660537362,-0.0015244735404849052,-0.0015941800083965063,-0.004604743793606758,0.04049238562583923,0.04480407014489174,0.039781928062438965,0.04481832683086395
113549.949,16,0.018393002450466156,0.0,0.0,1.0,1,7,-0.23861193656921387,0.07500439137220383,-0.05404316633939743,-0.00011404351243982092,-0.00014124144217930734,0.00021758867660537362,-0.0015244735404849052,-0.0015941800083965063,-0.004604743793606758,0.04049238562583923,0.04480407014489174,0.039781928062438965,0.04481832683086395
113567.711,21,0.018307778984308243,0.0,0.0,1.0,1,7,-0.2386123389005661,0.07500798255205154,-0.054042037576436996,0.00046954103163443506,0.00022962062212172896,8.248701487900689e-05,-0.0014882232062518597,-0.0015784098068252206,-0.00459238002076745,0.04081717133522034,0.0448945015668869,0.040186259895563126,0.044833701103925705
113567.814,21,0.018307778984308243,0.0,0.0,1.0,1,7,-0.2386123389005661,0.07500798255205154,-0.054042037576436996,0.00046954103163443506,0.00022962062212172896,8.248701487900689e-05,-0.0014882232062518597,-0.0015784098068252206,-0.00459238002076745,0.04081717133522034,0.0448945015668869,0.040186259895563126,0.044833701103925705
113583.535,27,0.01815214194357395,0.0,0.0,1.0,1,7,-0.23861245810985565,0.07501175254583359,-0.054040826857089996,-0.00021981936879456043,0.0006831999053247273,0.00010186386498389766,-0.0014504091814160347,-0.0014657507417723536,-0.004594551399350166,0.0403844378888607,0.04446472227573395,0.040234144777059555,0.04454172030091286
113597.773,32,0.018051108345389366,0.0,0.0,1.0,1,7,-0.23861180245876312,0.07501497864723206,-0.054039210081100464,-0.0005300850607454777,0.0006109348032623529,3.674575054901652e-05,-0.0015358628006651998,-0.0013810618547722697,-0.004566380754113197,0.04027578979730606,0.04464096948504448,0.04028768092393875,0.04433464631438255
113597.883,32,0.018051108345389366,0.0,0.0,1.0,1,7,-0.23861180245876312,0.07501497864723206,-0.054039210081100464,-0.0005300850607454777,0.0006109348032623529,3.674575054901652e-05,-0.0015358628006651998,-0.0013810618547722697,-0.004566380754113197,0.04027578979730606,0.04464096948504448,0.04028768092393875,0.04433464631438255
113620.164,39,0.01800992526113987,0.0,0.0,1.0,1,7,-0.2386108785867691,0.07501953095197678,-0.054039087146520615,-0.0002575784455984831,0.0002548942866269499,2.018173472606577e-05,-0.0015614195726811886,-0.001295828609727323,-0.0045713703148067,0.04032115638256073,0.044607020914554596,0.04025028645992279,0.04395218938589096
113620.252,39,0.01800992526113987,0.0,0.0,1.0,1,7,-0.2386108785867691,0.07501953095197678,-0.054039087146520615,-0.0002575784455984831,0.0002548942866269499,2.018173472606577e-05,-0.0015614195726811886,-0.001295828609727323,-0.0045713703148067,0.04032115638256073,0.044607020914554596,0.04025028645992279,0.04395218938589096
113642.912,47,0.0179912056773901,0.0,0.0,1.0,1,7,-0.2386104315519333,0.0750243067741394,-0.05403983220458031,0.00036487160832621157,0.00039863341953605413,-0.00010142110113520175,-0.0015699475770816207,-0.001197549165226519,-0.004590980708599091,0.040454354137182236,0.04461824893951416,0.04067141190171242,0.04411129653453827
113642.991,47,0.0179912056773901,0.0,0.0,1.0,1,7,-0.2386104315519333,0.0750243067741394,-0.05403983220458031,0.00036487160832621157,0.00039863341953605413,-0.00010142110113520175,-0.0015699475770816207,-0.001197549165226519,-0.004590980708599091,0.040454354137182236,0.04461824893951416,0.04067141190171242,0.04411129653453827
113660.971,50,0.017978113144636154,0.0,0.0,1.0,1,7,-0.2386098951101303,0.07502691447734833,-0.05404064804315567,-2.6073748813359998e-05,2.83852314169053e-05,0.00012631548452191055,-0.0015681873774155974,-0.0011551198549568653,-0.004593488294631243,0.04055212065577507,0.04439881071448326,0.04059591144323349,0.043728165328502655
113661.087,51,0.017961671575903893,0.0,0.0,1.0,1,7,-0.23860983550548553,0.07502738386392593,-0.054040756076574326,-0.0002196574496338144,0.0008750444976612926,4.0603859815746546e-05,-0.0015767790609970689,-0.0011530572082847357,-0.004586673341691494,0.04060887545347214,0.0444243848323822,0.040555212646722794,0.04366555064916611
113695.279,62,0.017712010070681572,0.0,0.0,1.0,1,7,-0.2386096566915512,0.0750313252210617,-0.05404175445437431,-0.0002597440034151077,0.0004250727070029825,0.00019455916481092572,-0.001583092613145709,-0.0009688830468803644,-0.0045484150759875774,0.04068034142255783,0.04416307061910629,0.0408611074090004,0.04389099031686783
113695.354,62,0.017712010070681572,0.0,0.0,1.0,1,7,-0.2386096566915512,0.0750313252210617,-0.05404175445437431,-0.0002597440034151077,0.0004250727070029825,0.00019455916481092572,-0.001583092613145709,-0.0009688830468803644,-0.0045484150759875774,0.04068034142255783,0.04416307061910629,0.0408611074090004,0.04389099031686783
113695.394,62,0.017712010070681572,0.0,0.0,1.0,1,7,-0.2386096566915512,0.0750313252210617,-0.05404175445437431,-0.0002597440034151077,0.0004250727070029825,0.00019455916481092572,-0.001583092613145709,-0.0009688830468803644,-0.0045484150759875774,0.04068034142255783,0.04416307061910629,0.0408611074090004,0.04389099031686783
113706.551,66,0.017611844465136528,0.0,0.0,1.0,1,7,-0.23860926926136017,0.07503235340118408,-0.05404239147901535,-0.0002558327396400273,0.0004772684187628329,0.00027008034521713853,-0.0016117128543555737,-0.0009300420060753822,-0.0045154099352657795,0.040871717035770416,0.044168971478939056,0.04087851196527481,0.04378843307495117
113722.667,71,0.017502490431070328,0.0,0.0,1.0,1,7,-0.23860903084278107,0.07503361254930496,-0.054043736308813095,0.0001756949204718694,0.0002713514259085059,0.0001608820166438818,-0.0016006295336410403,-0.00087400758638978,-0.004500406328588724,0.04097938537597656,0.04430270940065384,0.04095882922410965,0.0436658076941967
113722.738,71,0.017502490431070328,0.0,0.0,1.0,1,7,-0.23860903084278107,0.07503361254930496,-0.054043736308813095,0.0001756949204718694,0.0002713514259085059,0.0001608820166438818,-0.0016006295336410403,-0.00087400758638978,-0.004500406328588724,0.04097938537597656,0.04430270940065384,0.04095882922410965,0.0436658076941967
113737.406,76,0.01743324100971222,0.0,0.0,1.0,1,7,-0.23860898613929749,0.0750347226858139,-0.05404549464583397,-0.00010352932440582663,0.00046692544128745794,3.120513429166749e-05,-0.0016088546253740788,-0.0008186663035303354,-0.00449042534455657,0.04085317626595497,0.04401286318898201,0.041107773780822754,0.043706320226192474
113757.779,83,0.017377929762005806,0.0,0.0,1.0,1,7,-0.23860852420330048,0.07503580302000046,-0.054047517478466034,0.0001963779650395736,0.00034294702345505357,2.4800245228107087e-05,-0.001598287490196526,-0.0007323865429498255,-0.004493420477956533,0.04103623330593109,0.04418066889047623,0.04111654683947563,0.043547481298446655
113757.951,83,0.017377929762005806,0.0,0.0,1.0,1,7,-0.23860852420330048,0.07503580302000046,-0.054047517478466034,0.0001963779650395736,0.00034294702345505357,2.4800245228107087e-05,-0.001598287490196526,-0.0007323865429498255,-0.004493420477956533,0.04103623330593109,0.04418066889047623,0.04111654683947563,0.043547481298446655
113757.989,83,0.017377929762005806,0.0,0.0,1.0,1,7,-0.23860852420330048,0.07503580302000046,-0.054047517478466034,0.0001963779650395736,0.00034294702345505357,2.4800245228107087e-05,-0.001598287490196526,-0.0007323865429498255,-0.004493420477956533,0.04103623330593109,0.04418066889047623,0.04111654683947563,0.043547481298446655
113768.603,87,0.017357302829623222,0.0,0.0,1.0,1,7,-0.23860856890678406,0.07503636181354523,-0.054048433899879456,0.0003219156642444432,0.0006231219158507884,-3.0637533200206235e-05,-0.0015674293972551823,-0.0006897214334458113,-0.004506520461291075,0.04106348752975464,0.04423939809203148,0.04119373485445976,0.04347560182213783
113784.164,92,0.017358802258968353,0.0,0.0,1.0,1,7,-0.23860879242420197,0.07503693550825119,-0.05404910072684288,-7.472569268429652e-05,-7.866384839871898e-05,2.7837519155582413e-05,-0.0015696785412728786,-0.0006836115499027073,-0.004507336299866438,0.041074562817811966,0.04386568441987038,0.04138028249144554,0.043356940150260925
113800.086,97,0.017357610166072845,0.0,0.0,1.0,1,7,-0.23860891163349152,0.07503744959831238,-0.054049305617809296,-2.9096545404172502e-05,-0.00011790102144004777,-3.6197750432620523e-06,-0.001576474867761135,-0.0006998543394729495,-0.004502858500927687,0.04131627455353737,0.043779317289590836,0.041524022817611694,0.04316643625497818
113800.191,97,0.017357610166072845,0.0,0.0,1.0,1,7,-0.23860891163349152,0.07503744959831238,-0.054049305617809296,-2.9096545404172502e-05,-0.00011790102144004777,-3.6197750432620523e-06,-0.001576474867761135,-0.0006998543394729495,-0.004502858500927687,0.04131627455353737,0.043779317289590836,0.041524022817611694,0.04316643625497818
113820.524,104,0.017364487051963806,0.0,0.0,1.0,1,7,-0.23860925436019897,0.07503800094127655,-0.05404973402619362,0.00013186826254241168,-0.00024981392198242247,-7.782869943184778e-06,-0.001558314193971455,-0.0007525437977164984,-0.004502859897911549,0.041586026549339294,0.04339879751205444,0.04194963723421097,0.043171823024749756
