t_ms,packet_id,speed_kmh,steer,gas,brake,gear,rpms,heading,pitch,roll,accg_x,accg_y,accg_z
76088.829,10,0.0185881145298481,0.0,0.0,1.0,1,7,-0.23861180245876312,0.07499861717224121,-0.05404027923941612,0.00019162739044986665,-0.00010429855319671333,0.00018495360563974828
76099.658,14,0.018509458750486374,0.0,0.0,1.0,1,7,-0.23861141502857208,0.07500173896551132,-0.054041557013988495,-6.970403774175793e-05,1.6755857359385118e-05,0.00018775746866595
76128.459,23,0.01837240904569626,0.0,0.0,1.0,1,7,-0.23861180245876312,0.0750083401799202,-0.05404214933514595,0.0003113108978141099,0.00016619513917248696,0.00013786186173092574
76139.138,27,0.018269462510943413,0.0,0.0,1.0,1,7,-0.23861217498779297,0.07501090317964554,-0.054041195660829544,0.0004065662797074765,0.000294189085252583,0.00021669230773113668
76155.655,32,0.018101800233125687,0.0,0.0,1.0,1,7,-0.23861218988895416,0.07501384615898132,-0.05403980240225792,-0.0002275221486343071,0.0006735146744176745,0.00020657583081629127
76168.468,36,0.018007060512900352,0.0,0.0,1.0,1,7,-0.23861157894134521,0.07501647621393204,-0.05403862148523331,-0.0003166379174217582,-0.0010683595901355147,0.000491668819449842
76179.471,40,0.017964551225304604,0.0,0.0,1.0,1,7,-0.23861092329025269,0.07501905411481857,-0.05403810366988182,-7.7687123848591e-05,0.001031579333357513,-0.00012769250315614045
76196.435,46,0.017961302772164345,0.0,0.0,1.0,1,7,-0.23861047625541687,0.07502264529466629,-0.054038677364587784,-0.00034117468749172986,0.0005154900718480349,-2.5627932700444944e-05
76206.645,49,0.017955493181943893,0.0,0.0,1.0,1,7,-0.23861032724380493,0.07502438873052597,-0.05403902754187584,9.30536916712299e-05,0.0005908735329285264,-9.56337244133465e-05
76217.153,53,0.01795344613492489,0.0,0.0,1.0,1,7,-0.23860995471477509,0.07502657175064087,-0.05403977632522583,0.0002781755174510181,0.0005413152975961566,-0.00011476843792479485
